#GRB	Trigger Julian Date	T90	Redshift	Redshift reference
071003	2454376.82008	150.0	1.100 (Keck I: absorption)<br>>0.937 (VLT: absorption)	 GCN 6850 (Keck I); GCN 6851 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_87_1.pdf">GCN Report 87.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_87_2.pdf">GCN Report 87.2</a
071001	2454375.18875	58.5	--	--
070923	2454367.30235	0.05	--	--
070920B	2454364.37815	20.2	--	--
070920A	2454363.66682	56.0	--	--
070917	2454360.81523	7.3	--	--
070913	2454356.5255	3.2	--	--
070911	2454354.74843	162.0	--	--
070810B	2454323.13839	0.08	--	--
070810A	2454322.59157	11.0	2.17 (Keck I: absorption)	 GCN 6741 (Keck I)
070809	2454322.30714	1.3	--	--
070808	2454321.26944	32.0	--	--
070805	2454318.33038	31.0	--	--
070802	2454314.79682	16.4	2.45 (VLT)	 GCN 6698<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_78_1.pdf">GCN Report 78.1</a
070731	2454312.89817	2.9	--	--
070729	2454310.51797	0.9	--	--
070724A	2454305.95405	0.4	0.457 (Gemini South: emission, from host)<br>0.457 (VLT: emission, from host)	 GCN 6665 (Gemini South); GCN 6666 (VLT)<br><strong>Host:</strong> GCN 6658 (DSS); GCN 6662 (UKIRT); GCN 6664 (Palomar); GCN 6665 (Gemini South); GCN 6666 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_74_1.pdf">GCN Report 74.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_74_2.pdf">GCN Report 74.2</a
070721B	2454302.94014	340.0	proposed redshift 3.626 (VLT)	 GCN 6651 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_73_1.pdf">GCN Report 73.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_73_2.pdf">GCN Report 73.2</a
070721A	2454302.91745	3.4	--	--
070714B	2454295.70797	64.0	0.92 (Gemini: emission, from host)	 GCN 6836 (Gemini)<br><strong>Host:</strong> GCN 6836 (Gemini)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_70_1.pdf">GCN Report 70.1</a
070714A	2454295.63925	2.0	--	--
070704	2454286.33747	380.0	--	--
070628	2454280.11183	39.1	--	--
070621	2454273.47059	33.3	--	--
070616	2454268.1872	402.4	--	--
070612B	2454263.76479	13.5	--	--
070612A	2454263.61025	368.8	0.617 (Gemini North: emission)	 GCN 6556 (Gemini North)<br><strong>Host:</strong> GCN 6555 (NOT); GCN 6558 (TNG)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_64_1.pdf">GCN Report 64.1</a
070611	2454262.58141	12.2	2.04 (VLT)	 GCN 6499 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_63_1.pdf">GCN Report 63.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_63_2.pdf">GCN Report 63.2</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_63_3.pdf">GCN Report 63.3</a
070531	2454251.59049	44.5	--	--
070529	2454250.03366	109.2	2.4996 (Gemini North: absorption)	 GCN 6470 (Gemini North)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_61_1.pdf">GCN Report 61.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_61_2.pdf">GCN Report 61.2</a
070521	2454241.78554	37.9	0.553 (Subaru: emission)	 GCN 6444<br><strong>Host:</strong> GCN 6444 (Subaru); GCN 6450 (Gemini North); GCN 6451 (Keck I)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_60_1.pdf">GCN Report 60.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_60_2.pdf">GCN Report 60.2</a
070520B	2454241.2395	65.8	--	--
070520A	2454241.04525	18.1	--	--
070518	2454239.10163	5.5	--	--
070517	2454237.97289	7.6	--	--
070509	2454229.61698	7.7	--	--
070508	2454228.67937	20.9	0.82 (VLT: emission, tentative)	 GCN 6398 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_54_1.pdf">GCN Report 54.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_54_2.pdf">GCN Report 54.2</a
070506	2454226.73331	4.3	2.31 (VLT: absorption)	 GCN 6379 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_53_1.pdf">GCN Report 53.1</a
070429B	2454219.6313	0.47	0.904 (Keck I: from probable host)	 GCN 7140 (Keck I)<br><strong>Host:</strong> GCN 6368; GCN 6370 (Gemini South); GCN 6372 (VLT); GCN 7140 (Keck I)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_51_1.pdf">GCN Report 51.1</a
070429A	2454219.56609	163.3	--	--
070427	2454217.85497	11.1	--	--
070420	2454210.76266	76.5	--	--
070419B	2454209.94729	236.4	--	--
070419A	2454209.91627	115.6	0.97 (Keck I: absorption)	 GCN 6322 (Keck I)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_47_1.pdf">GCN Report 47.1</a
070412	2454202.56045	33.8	--	--
070411	2454202.34205	121.5	2.954 (VLT: absorption)	 GCN 6283 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_44_1.pdf">GCN Report 44.1</a
070406	2454196.53517	1.2	--	--
070330	2454190.45244	9.0	--	--
070328	2454187.66242	75.3	--	--
070318	2454177.81176	74.6	0.836 (VLT: absorption)<br>0.840 (Gemini/Magellan: absorption)	 GCN 6216 (VLT); GCN 6217 (Gemini/Magellan)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_40_1.pdf">GCN Report 40.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_40_2.pdf">GCN Report 40.2</a
070306	2454166.19546	209.5	possible redshift:<br>1.497 (VLT: emission)	 GCN 6202 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_38_1.pdf">GCN Report 38.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_38_2.pdf">GCN Report 38.2</a
070227	2454159.43193	7.0	--	--
070224	2454156.35275	34.5	--	--
070223	2454154.55209	88.5	--	--
070220	2454151.6976	129.0	--	--
070219	2454150.5488	16.6	--	--
070209	2454140.6484	0.09	--	--
070208	2454139.88234	47.7	1.165 (Gemini-North: emission)	 GCN 6083 (Gemini-North)<br><strong>Host:</strong> GCN 6075 (MDM)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_31_1.pdf">GCN Report 31.1</a
070129	2454130.48275	460.6	2.3384 (TOUGH: emission)	 arXiv:1205.3162v2 (TOUGH)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_30_1.pdf">GCN Report 30.1</a
070126	2454126.60655	51.0	--	--
070110	2454110.80743	88.4	2.352 (VLT: absorption)	 GCN 6010 (VLT)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_26_1.pdf">GCN Report 26.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_26_2.pdf">GCN Report 26.2</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_26_3.pdf">GCN Report 26.3</a
070107	2454108.00368	347.3	--	--
070103	2454104.36573	18.6	2.6208 (TOUGH: emission)	 arXiv:1205.3162v2 (TOUGH)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_24_1.pdf">GCN Report 24.1</a
061222B	2454091.67433	40.0	3.355 (Magellan: absorption)	 GCN 5958; GCN 5962 (Magellan)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_23_1.pdf">GCN Report 23.1</a
061222A	2454091.64505	71.4	2.088 (Perley)	 Perley et al. 2009<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_22_1.pdf">GCN Report 22.1</a
061218	2454087.67021	6.5	--	--
061217	2454086.65287	0.21	0.827 (Magellan: emission)	 GCN 5965 (Magellan)<br><strong>Host:</strong> GCN 5949 (Magellan); GCN 5951 (Calar Alto)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_21_1.pdf">GCN Report 21.1</a><br><a href="http://gcn.gsfc.nasa.gov/reports/report_21_2.pdf">GCN Report 21.2</a
061210	2454080.01434	85.3	0.41 possible host redshift (Keck: emission)	 GCN 5946 (Keck)<br><strong>Host:</strong> GCN 5922 (Gemini); GCN 5925 (MDM); GCN 5946 (Keck)<br><strong>Other:</strong> <a href="http://gcn.gsfc.nasa.gov/reports/report_20_1.pdf">GCN Report 20.1</a
061202	2454071.84149	91.2	--	--
