#GRB	Trigger Julian Date	T90	Redshift	Redshift reference
050509B	2453499.66689	0.073	0.225 (Keck: absorption)	 GCN 3390; GCN 3399 (Keck)<br><strong>Host:</strong> GCN 3386<br><strong>Other:</strong> Nature, 437, 851, 2005
050509A	2453499.57395	11.4	--	--
050505	2453496.47385	58.9	4.27 (Keck: absorption)	 GCN 3368 (Keck)<br><strong>Other:</strong> MNRAS, 368, 1101, 2006
050502B	2453492.89282	17.7	--	--
050422	2453482.82824	59.3	--	--
050421	2453481.67491	15.0	--	--
050418	2453478.95874	82.3	--	--
050416B	2453477.4416	3.4	--	--
050416A	2453476.96162	2.5	0.6535 (Keck: emission)	 GCN 3542 (Keck)<br><strong>Host:</strong> GCN 3542; ApJ, 662, 294, 2007<br><strong>Other:</strong> ApJ, 636, L73, 2006
050412	2453472.73892	26.5	--	--
050410	2453471.01012	42.5	--	--
050406	2453467.16583	5.4	2.44 (UVOT: photometric)	 ApJ, 643, 276, 2006<br><strong>Other:</strong> Science, 309, 1833, 2005<br>ApJ, 643, 276, 2006
050401	2453462.0974	33.3	2.9 (VLT: absorption)	 GCN 3176 (VLT)<br><strong>Other:</strong> MNRAS, 365, 1031, 2006
050326	2453455.91245	29.3	--	--
050319	2453448.89674	152.5	3.24 (NOT: absorption)	 GCN 3136 (NOT)<br><strong>Other:</strong> ApJ, 635, L133, 2005<br>ApJ, 639, 316, 2006<br>ApJ, 639, 311, 2006
050318	2453448.15598	32.0	1.44 (Magellan: absorption)	 GCN 3122 (Magellan)<br><strong>Other:</strong> A&A, 442, L1, 2005<br>ApJ, 635, 1187, 2005
050315	2453445.3748	95.6	1.949 (Magellan: absorption)	 GCN 3101 (Magellan)<br><strong>Other:</strong> ApJ, 635, L133, 2005<br>ApJ, 638, 920, 2006
050306	2453435.64806	158.3	--	--
050223	2453424.63132	22.5	0.5915 (Magellan: emission from host)<br>0.584 (VLT: emission from host)	 GCN 5283 (Magellan); A&A, 459, L5, 2006 (VLT)<br><strong>Host:</strong> GCN 5268 (VLT)<br><strong>Other:</strong> MNRAS, 363, 76P, 2005
050219B	2453421.37906	30.7	--	--
050219A	2453421.02779	23.7	--	--
050215B	2453416.60675	8.1	--	--
050215A	2453416.59409	87.3	--	--
050202	2453403.64948	0.27	--	--
050128	2453398.6805	19.2	--	--
050126	2453397.00062	24.8	1.29 (Keck: emission)	 GCN 3088 (Keck)<br><strong>Other:</strong> Nature, 436, 985, 2005<br>A&A, 449, 89, 2006
050124	2453394.9792	4.0	--	--
050117	2453388.03653	166.6	--	--
041228	2453367.95086	55.4	--	--
041226	2453366.35716	89.7	--	--
041224	2453364.34789	177.2	--	--
041223	2453363.08771	109.1	--	--
041220	2453360.45726	5.6	--	--
041219C	2453359.35456	4.8	--	--
041219B	2453359.15194	30.0	--	--
041219A	2453358.57104	520.0	--	--
041217	2453356.8114	5.8	--	--
